trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",30,0,-194.26003316965895,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-214.56449349707282,"{0: 11, 1: 6, 2: 4, 3: 0, 4: 4}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",25,0,-155.53666314470865,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-124.69454496544178,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",25,0,-15.324618063431828,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-133.90303084336733,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",20,5,-105.92706180622683,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
82,False,"{'a': 0.001, 'e': 0.922193691444608}",25,14,-24.97896860753741,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",25,0,-69.89718653348618,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",25,0,-156.64177042068223,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",20,0,-118.6161041439174,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",25,0,-210.2018292337929,"{0: 8, 1: 8, 2: 6, 3: 0, 4: 3}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",25,0,-122.09954382708179,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",20,0,-254.44848197268755,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 5}",0
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",25,0,-67.49809186992347,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",20,0,-84.5242473148514,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",25,0,-114.42489176206723,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,2,-94.86181411558682,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 1}",1
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",20,0,-8.108384305192464,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",25,0,-185.05322604937118,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",35,0,-219.08342868639258,"{0: 18, 1: 8, 2: 5, 3: 1, 4: 3}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",25,0,-114.9362313585826,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",25,0,-115.40523383305546,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-72.0166474448904,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",25,0,-235.17951967288045,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 5}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",20,0,-60.92711970715124,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",30,4,-19.455887697860938,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",25,0,-56.26952869743423,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",20,0,-106.81504925680795,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",20,6,-63.342024765917564,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 0}",1
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",20,14,10.715128895877047,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",25,5,-63.433468951617584,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
107,False,"{'a': 0.001, 'e': 0.899424648075924}",25,0,-152.78543833665825,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",20,15,-5.026279618681706,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",20,1,-50.211100920975944,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",25,0,-15.341233944436732,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",35,0,-146.71044615057073,"{0: 21, 1: 6, 2: 4, 3: 3, 4: 1}",0
112,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-139.8185904948561,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",20,9,-53.72806324950557,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",20,0,-37.110674956484644,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",30,0,-193.202702971726,"{0: 14, 1: 8, 2: 5, 3: 0, 4: 3}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",30,0,-179.35103751419047,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",25,0,-132.44151501946666,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",25,0,-148.68430661351695,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,0,-101.50531956850672,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-163.69709286768236,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,5,-74.43926077673733,"{0: 7, 1: 3, 2: 3, 3: 2, 4: 0}",1
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",25,0,-136.1471096055463,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,0,-148.87088401271734,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",30,0,-199.31564777329888,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,9,-18.698555699835886,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",20,0,-95.66646432273961,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",20,6,-101.33837330077941,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
128,False,"{'a': 0.001, 'e': 0.880733672597157}",30,0,-107.31036116558077,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",35,0,-119.50678887015042,"{0: 20, 1: 4, 2: 9, 3: 2, 4: 0}",0
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",20,1,-48.25987309304726,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",25,0,-80.87740140835102,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",30,0,-130.27916650196528,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",20,13,5.635099148003772,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-134.35322016576885,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",20,0,-32.524683926750114,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",35,0,-168.3212622083682,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-137.02404111186016,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",25,0,-68.99360151478366,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",30,9,-71.59759781681436,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 0}",1
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",20,0,-110.05253102948616,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,0,-67.28030498318671,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",20,0,-84.69356539692198,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.001, 'e': 0.867621256485914}",25,0,-111.79222571796954,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
